Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
69,Kobe Brown,PF,24,LAC,30,271,5.4,.460,.633,.033,3.9,12.9,8.5,7.7,1.1,1.0,7.6,10.6,,0.0,0.3,0.3,.046,,-4.8,0.3,-4.5,-0.2,brownko01
70,Moses Brown,C,24,POR,9,82,12.8,.395,.000,.190,23.3,41.0,31.6,3.5,1.2,3.3,14.9,13.9,,0.0,0.1,0.1,.047,,-4.8,-2.3,-7.1,-0.1,brownmo01
71,Troy Brown Jr.,SF,24,MIN,37,410,11.6,.603,.712,.186,4.2,15.2,10.1,11.8,1.0,0.4,12.4,15.6,,0.4,0.6,1.0,.121,,-0.3,0.7,0.4,0.2,browntr01
72,Jalen Brunson,PG,27,NYK,48,1722,21.9,.596,.326,.307,1.9,10.1,6.0,30.2,1.2,0.5,9.2,29.8,,5.1,1.8,6.9,.193,,5.2,-0.2,5.0,3.0,brunsja01
73,Thomas Bryant,C,26,MIA,25,259,15.2,.611,.052,.286,10.8,23.1,16.8,8.9,1.1,1.9,14.8,17.4,,0.3,0.3,0.6,.116,,-2.3,-0.6,-2.9,-0.1,bryanth01
74,Kobe Bufkin,SG,20,ATL,3,6,18.6,.410,.500,.500,17.4,37.4,27.0,22.6,0.0,0.0,0.0,33.3,,0.0,0.0,0.0,.068,,0.9,-4.8,-3.9,0.0,bufkiko01
75,Reggie Bullock,SF,32,HOU,20,180,8.0,.554,.738,.024,1.8,14.9,8.4,7.3,1.1,1.0,10.5,11.3,,0.0,0.2,0.3,.067,,-2.5,0.1,-2.5,0.0,bullore01
76,Alec Burks,SG,32,DET,42,872,14.4,.572,.609,.325,2.0,11.5,6.6,10.9,1.2,1.0,6.6,23.4,,1.1,0.2,1.3,.074,,1.0,-1.8,-0.9,0.3,burksal01
77,Jared Butler,SG,23,WAS,17,128,21.1,.689,.480,.300,0.0,9.3,4.6,35.5,2.9,1.3,15.0,21.9,,0.4,0.1,0.4,.167,,3.1,0.5,3.6,0.2,butleja02
78,Jimmy Butler,PF,34,MIA,35,1185,22.1,.629,.162,.589,7.0,10.6,8.7,20.6,1.8,0.8,8.8,24.5,,3.7,1.3,5.0,.202,,4.1,0.0,4.0,1.8,butleji01
79,Jamal Cain,PF,24,MIA,14,209,11.5,.538,.379,.288,6.4,9.4,7.9,2.1,2.1,1.9,5.1,16.6,,0.1,0.3,0.3,.079,,-2.6,0.0,-2.6,0.0,cainja01
