,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,,-additional
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,-9999
165,Michael Boulware,SEA,23,DB,16,4,5,69,1,63,6,2,0,0,0,0,1.0,65,49,16,1,,,BoulMi20
166,Marques Douglas,BAL,27,RDE,16,15,0,0,0,0,2,1,0,0,0,0,5.5,72,49,23,11,,,DougMa20
167,Warrick Holdman,CLE,29,RLB,16,14,0,0,0,0,2,,,,,0,0.5,78,49,29,1,,,HoldWa20
168,Dhani Jones,PHI,26,RLB,16,15,1,0,0,0,5,0,0,1,0,0,0.5,72,49,23,7,,,JoneDh20
169,Niko Koutouvides,SEA,23,LB,16,2,,,0,,,,,,,0,1.0,62,49,13,4,,,KoutNi20
170,Kenard Lang,CLE,29,RDE,16,15,0,0,0,0,4,2,0,0,0,0,7.0,62,49,13,14,,,LangKe20
171,Ben Leber,SDG,26,LOLB,16,16,0,0,0,0,1,0,0,1,25,0,2.0,60,49,11,5,,,LebeBe20
172,John Lynch*,DEN,33,FS,15,15,1,2,0,2,10,3,0,0,0,0,2.0,66,49,17,3,,,LyncJo00
173,Ronald McKinnon,ARI,31,MLB,16,10,,,0,,,,,,,,0.0,74,49,25,6,,,McKiRo21
174,Osi Umenyiora,NYG,23,RDE,16,7,0,0,0,0,3,3,0,4,88,1,7.0,66,49,17,12,,,UmenOs99
175,Gibril Wilson,NYG,23,SS,8,7,3,39,0,39,5,1,0,0,0,0,3.0,56,49,7,4,,,WilsGi20
176,Jason David,IND,22,RCB,16,11,4,36,1,34,15,1,0,0,0,0,0.0,52,48,4,2,,,DaviJa20
177,Antuan Edwards,2TM,27,FS,14,13,0,0,0,0,10,1,0,0,0,0,1.0,66,48,18,1,,,EdwaAn21
